MUTE,16H,127,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT (JCM800),7C,0,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT (RVerb),7A,1,,,,,,,,,,,,,,,,,,,,,,,,
Alive,4C,24,,,,,,,,,,,,,,,,,,,,,,,,
All My Life,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
All Over You,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
"Anthem, The",7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Basket Case,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Possum Kingdom,8F,17,,,,,,,,,,,,,,,,,,,,,,,,
Big Bang Baby,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Big Empty,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Bound for the Floor,10H,35,,,,,,,,,,,,,,,,,,,,,,,,
Bullet with Butterfly Wings,9F,22,,,,,,,,,,,,,,,,,,,,,,,,
Bulls On Parade,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
By The Way,8C,7,,,,,,,,,,,,,,,,,,,,,,,,
Celebrity Skin,14B,58,,,,,,,,,,,,,,,,,,,,,,,,
Cherub Rock,12B,40,,,,,,,,,,,,,,,,,,,,,,,,
Cochise,9A,56,2,11,1,2,13,1,,,,,,,,,,,,,,,,,,
Cold Hard Bitch,8E,11,,,,,,,,,,,,,,,,,,,,,,,,
Come Out And Play,11C,1,,,,,,,,,,,,,,,,,,,,,,,,
Comedown,6E,1,,,,,,,,,,,,,,,,,,,,,,,,
Crawling in the Dark,13D,46,,,,,,,,,,,,,,,,,,,,,,,,
Cumbersome,9C,18,,,,,,,,,,,,,,,,,,,,,,,,
Dance Dance,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Dead and Bloated,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Deeds,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Down,7B,1,2,10,1,2,11,1,,,,,,,,,,,,,,,,,,
Drive,10C,14,,,,,,,,,,,,,,,,,,,,,,,,
Even Flow,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Everlong,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Far Behind/Plowed,7H,1,2,13,1,,,,,,,,,,,,,,,,,,,,,
Flagpole Sitta,13C,45,,,,,,,,,,,,,,,,,,,,,,,,
Fly Away,9F,22,,,,,,,,,,,,,,,,,,,,,,,,
Fight for Your Right,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
Guerrilla Radio,13G,55,,,,,,,,,,,,,,,,,,,,,,,,
Hard to Handle,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Hash Pipe,13H,57,,,,,,,,,,,,,,,,,,,,,,,,
Heart Shaped Box,1G,34,,,,,,,,,,,,,,,,,,,,,,,,
Heavy,7B,1,2,11,1,,,,,,,,,,,,,,,,,,,,,
Hey Man Nice Shot,8H,27,,,,,,,,,,,,,,,,,,,,,,,,
Higher,7A,1,,,,,,,,,,,,,,,,,,,,,,,,
Higher Ground,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Highway Tune,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Hysteria,13E,47,,,,,,,,,,,,,,,,,,,,,,,,
I Alone,7A,1,,,,,,,,,,,,,,,,,,,,,,,,
I Believe In A Thing...,12E,3,,,,,,,,,,,,,,,,,,,,,,,,
Immigrant Song,7B,1,,,,,,,,,,,,,,,,,,,,,,,,
In Bloom,8G,25,,,,,,,,,,,,,,,,,,,,,,,,
Inside Out,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Interstate Love Song,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Killing in the Name,14H,61,,,,,,,,,,,,,,,,,,,,,,,,
Last Nite,7D,0,,,,,,,,,,,,,,,,,,,,,,,,
Limelight,11E,37,,,,,,,,,,,,,,,,,,,,,,,,
Little Things,6E,1,,,,,,,,,,,,,,,,,,,,,,,,
