MUTE,127,127,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT (JCM800),50,0,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT (RVerb),48,1,,,,,,,,,,,,,,,,,,,,,,,,
Alive,26,24,,,,,,,,,,,,,,,,,,,,,,,,
All My Life,49,1,,,,,,,,,,,,,,,,,,,,,,,,
All Over You,49,1,,,,,,,,,,,,,,,,,,,,,,,,
"Anthem, The",49,1,,,,,,,,,,,,,,,,,,,,,,,,
Basket Case,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Possum Kingdom,61,17,,,,,,,,,,,,,,,,,,,,,,,,
Big Bang Baby,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Big Empty,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Bound for the Floor,79,35,,,,,,,,,,,,,,,,,,,,,,,,
Bullet with Butterfly Wings,69,22,,,,,,,,,,,,,,,,,,,,,,,,
Bulls On Parade,49,1,,,,,,,,,,,,,,,,,,,,,,,,
By The Way,58,7,,,,,,,,,,,,,,,,,,,,,,,,
Celebrity Skin,105,58,,,,,,,,,,,,,,,,,,,,,,,,
Cherub Rock,89,40,,,,,,,,,,,,,,,,,,,,,,,,
Cochise,64,56,2,11,1,2,13,1,,,,,,,,,,,,,,,,,,
Cold Hard Bitch,60,11,,,,,,,,,,,,,,,,,,,,,,,,
Comedown,44,1,,,,,,,,,,,,,,,,,,,,,,,,
Crawling in the Dark,99,46,,,,,,,,,,,,,,,,,,,,,,,,
Cumbersome,66,18,,,,,,,,,,,,,,,,,,,,,,,,
Dance Dance,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Dead and Bloated,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Deeds,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Down,49,1,2,10,1,2,11,1,,,,,,,,,,,,,,,,,,
Drive,74,14,,,,,,,,,,,,,,,,,,,,,,,,
Even Flow,49,1
Everlong,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Far Behind/Plowed,55,1,2,13,1,,,,,,,,,,,,,,,,,,,,,
Flagpole Sitta,98,45,,,,,,,,,,,,,,,,,,,,,,,,
Fly Away,69,22,,,,,,,,,,,,,,,,,,,,,,,,
Fight for Your Right,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Guerrilla Radio,102,55,,,,,,,,,,,,,,,,,,,,,,,,
Hard to Handle,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Hash Pipe,103,57,,,,,,,,,,,,,,,,,,,,,,,,
Heart Shaped Box,6,34,,,,,,,,,,,,,,,,,,,,,,,,
Heavy,49,1,2,11,1,,,,,,,,,,,,,,,,,,,,,
Hey Man Nice Shot,63,27,,,,,,,,,,,,,,,,,,,,,,,,
Higher,48,1,,,,,,,,,,,,,,,,,,,,,,,,
Highway Tune,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Hysteria,100,47,,,,,,,,,,,,,,,,,,,,,,,,
I Alone,48,1,,,,,,,,,,,,,,,,,,,,,,,,
I Believe In A Thing...,92,3,,,,,,,,,,,,,,,,,,,,,,,,
Immigrant Song,49,1,,,,,,,,,,,,,,,,,,,,,,,,
In Bloom,62,25,,,,,,,,,,,,,,,,,,,,,,,,
Inside Out,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Interstate Love Song,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Killing in the Name,111,61
Last Nite,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Limelight,84,37,,,,,,,,,,,,,,,,,,,,,,,,
Little Things,44,1,,,,,,,,,,,,,,,,,,,,,,,,
Low,21,33,,,,,,,,,,,,,,,,,,,,,,,,
Man in the Box,56,10,2,11,1,2,17,1,,,,,,,,,,,,,,,,,,
Meet Virginia,90,0,,,,,,,,,,,,,,,,,,,,,,,,
Miss Murder,48,1,2,12,1,2,13,1,,,,,,,,,,,,,,,,,,
My Hero,49,1,,,,,,,,,,,,,,,,,,,,,,,,
My Sacrifice,49,1,,,,,,,,,,,,,,,,,,,,,,,,
No Excuses,25,23,,,,,,,,,,,,,,,,,,,,,,,,
No One Knows,95,1,,,,,,,,,,,,,,,,,,,,,,,,
"Ocean, The",51,0,,,,,,,,,,,,,,,,,,,,,,,,
"One I Love, The",109,1
One Last Breath,101,48,,,,,,,,,,,,,,,,,,,,,,,,
Outshined,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Pets,73,13,,,,,,,,,,,,,,,,,,,,,,,,
Plowed,55,1,2,12,1,2,13,1,2,11,1,,,,,,,,,,,,,,,
Plush,49,1,,,,,,,,,,,,,,,,,,,,,,,,
Possum Kingdom,17,17,,,,,,,,,,,,,,,,,,,,,,,,
Say It Ain't So,48,1,,,,,,,,,,,,,,,,,,,,,,,,
Sex Type Thing,49,1,,,,,,,,,,,,,,,,,,,,,,,,
She,51,0
Shimmer,59,8,,,,,,,,,,,,,,,,,,,,,,,,
Shine,83,36,,,,,,,,,,,,,,,,,,,,,,,,
Show Me How To Live,104,60,,,,,,,,,,,,,,,,,,,,,,,,
Smells Like Teen Spirit,77,32,,,,,,,,,,,,,,,,,,,,,,,,
Smooth Criminal,67,28,,,,,,,,,,,,,,,,,,,,,,,,
Somebody Told Me,86,39,,,,,,,,,,,,,,,,,,,,,,,,
Sound of Madness,124,53
STF-Around This Town,114,64
STF-Color,115,63
STF-Good Samaritan,116,65
STF-Reject,117,66
STF-Fight or Flight,118,67
Suck My Kiss,51,59,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Emotion,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Take Me Out,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Teenagers,51,0,,,,,,,,,,,,,,,,,,,,,,,,
Testify,75,31,,,,,,,,,,,,,,,,,,,,,,,,
